'cello|виолончель|'tSelqu
dissident|диссидент|'dIsIdqnt
dissociate|разъединять|dI'squSIeIt
dissolve|распускать|dI'zOlv
distinct|ясный|dIs'tINkt
distinction|различие|dIs'tINkSqn
distinctly|отчетливо|dIs'tINktlI
distort|искажать|dIs'tO:t
distortion|искажение|dIs'tO:Sqn
distributive|распределительный|dIs'trIbjutIv
disturbance|нарушение|dIs'tq:bqns
ditch|канава, траншея|dItS
dive|нырять|daIv
divert|отклонять|daI'vq:t
divided|разделенный на части|dI'vaIdId
divorce|разводить|dI,vO:'si:
dock|док|dOk
docker|докер|'dOkq
dockyard|судоремонтный завод|'dOkjQ:d
doctrine|доктрина|'dOktrIn
documentary|документальный|,dOkju'mentqrI
dodge|уловка, хитрость|dOdZ
doll|кукла|dOl
dominant|доминирующий|'dOmInqnt
domination|господство|dOmI'neISqn
donation|денежное пожертвование|dqu'neISn
doom|обрекать|du:m
dope|наркотик|
dosage|дозировка|
dose|доза, дозировать|dqus
double|двойное количество, двойной|'dAbl
doubtful|сомневающийся|'dautfl
downward|вниз, книзу|'daunwqd
drab|тускло-коричневый цвет|drxb
drag|тащить|drxg
drain|вытекание|dreIn
drastic|решительный|'drxstIk
drastically|решительно|
dreadful|ужасный|'dredful
dream|сон, мечта, видеть сны|dri:m
dressed|одетый|
drill|тренировать|drIl
drink|напиток, пить|drINk
drinking|питье|
drive|езда, гонка|draIv
driving|езда, вождение, движущий|'draIvIN
dropping|сбрасывающий|
dry|сушить, сухой|draI
duck|утка, парусина|dAk
dull|тупой, вялый|dAl
duly|должным образом|
duration|продолжительность|dju'reISn
dye|красить|daI
dynamic|динамический|daI'nxmIk
eagle|орел|'i:gl
ear|ухо|Iq
earnest|серьезный|'q:nIst
earthquake|землетрясение|'q:TkweIk
echo|вторить, подражать|'ekqu
economically|экономно|,i:kq'nOmIkqlI
economist|экономист|I(:)'kOnqmIst
ecumenical|экуменический|,i:kju(:)'menIkql
edge|острие, заострять|edZ
edition|издание|I'dISqn
educate|воспитывать|'edju(:)keIt
effectively|эффективно|
effectiveness|эффективность|
efficiency|эффективность|I'fISqnsI
efficient|эффективный|I'fISqnt
ego|субъект, эго|'egqu
eject|изгонять|I(:)'dZekt
elderly|пожилой|'eldqlI
electioneering|предвыборная кампания|
electoral|избирательный|I'lektqrql
electorate|избиратели|I'lektqrIt
electrician|электрик|Ilek'trISqn
electronic|электронный|Ilek'trOnIk
elementary|элементарный|,elI'mentqrI
elephant|слон|'elIfqnt
eligible|подходящий|'elIdZqbl
elimination|исключение|I,lImI'neISqn
elite|элита|eI'li:t
eloquent|красноречивый|'elqukwqnt
emancipation|освобождение|I,mxnsI'peISqn
embargo|эмбарго|em'bQ:gqu
emotion|возбуждение|I'mquSqn
emotional|эмоциональный|I'mquSqnl
empower|уполномочивать|Im'pauq
enact|предписывать|I'nxkt
enclose|окружать|In'klquz
encouragement|удобрение|In'kArIdZmqnt
encyclical|энциклика|en'sIklIkql
endanger|подвергать опасности|In'deIndZq
endeavour|попытка|In'devq
endless|бесконечный|'endlIs
endlessly|нескончаемо|
endorse|подписываться|In'dO:s
endorsement|подтверждение|In'dO:smqnt
enforcement|принуждение|In'fO:smqnt
engagement|занятие|In'geIdZmqnt
enjoy|наслаждаться|In'dZOI
enormously|чрезвычайно|I'nO:mqslI
enrich|обогащать|In'rItS
entering|вступление|
enthusiast|энтузиаст|In'Tju:zIxst
entrance|вход, вступление|In'trQ:ns
envelope|конверт|'envqlqup
envisage|смотреть в лицо|In'vIzIdZ
equal|равняться|'i:kwql
equivalent|эквивалент, эквивалентный|I'kwIvqlqnt
erect|строить|I'rekt
erosion|эрозия|I'rquZqn
error|ошибка|'erq
escort|охрана|'eskO:t
espionage|шпионаж|,espIq'nQ:Z
essence|сущность|'esns
essentially|по существу|I'senSqlI
established|установленный|Is'txblISt
estimated|предполагаемый|
etcetera (etc)|и т.д.|
eternal|вечный|I(:)'tq:nl
ethics|этика|'eTIks
ethnic|этнический|'eTnIk
evacuate|эвакуировать|I'vxkjueIt
evaluation|оценка|I,vxlju'eISqn
evasion|увертка|I'veIZqn
eve|канун|i:v
eventual|возможный|I'ventSuql
evict|выселять|I(:)'vIkt
evident|очевидный|'evIdqnt
evil|дурной, злой|'i:vl
evolve|развивать|I'vOlv
exact|точный|Ig'zxkt
except|исключать, исключая, кроме|Ik'sept
exceptional|исключительный|Ik'sepSqnl
exceptionally|исключительно|Ik'sepSqnlI
excess|избыток|Ik'ses
exchequer|казначейство|Iks'tSekq
excitement|возбуждение|Ik'saItmqnt
exclusively|исключительно|Iks'klu:sIvlI
excuse|извинение, извинять|Iks'kju:s
execute|выполнять|'eksIkju:t
execution|выполнение|,eksI'kju:Sqn
exempt|освобожденный|Ig'zempt
exert|осуществлять|Ig'zq:t
exhaust|истощать|Ig'zO:st
exhaustion|истощение|Ig'zO:stSqn
exhibit|экспонат,  показывать|Ig'zIbIt
exile|ссылка, изгонять|'eksaIl
expectation|ожидание|,ekspek'teISqn
expedition|экспедиция|,ekspI'dISqn
experimental|экспериментальный|eks,perI'mentl
expire|кончаться|Iks'paIq
explicit|ясный|Iks'plIsIt
exploit|эксплуатировать|'eksplOIt
exploitation|эксплуатация|,eksplOI'teISqn
exploration|исследование|,eksplO:'reISqn
explore|исследовать|Iks'plO:
explosive|взрывчатое вещество, взрывчатый, вспыльчивый|Iks'plqusIv
exporter|экспортер|eks'pO:tq
express|определенный|Iks'pres
expression|выражение|Iks'preSqn
expulsion|изгнание|Iks'pAlSqn
exquisite|изысканный|'ekskwIzIt
extended|растянутый|Iks'tendId
extensive|обширный|Iks'tensIv
external|наружный|eks'tq:nl
extract|выписка|'ekstrxkt
extremely|крайне|Iks'tri:mlI
extremist|экстремист|Iks'tri:mIst
fabric|ткань|'fxbrIk
fabulous|баснословный|'fxbjulqs
facilitate|облегчать|fq'sIlIteIt
facing|облицовка|'feIsIN
faction|фракция|'fxkSqn
fad|прихоть|fxd
fail|неудача, терпеть неудачу, подводить|feIl
fairy|сказочный|'fFqrI
falling|падение|'fO:lIN
fallout|осадки|
fancy|причудливый|'fxnsI
fantastic|фантастический|fxn'txstIk
fantasy|воображение|'fxntqsI
farce|фарс|fQ:s
fare|плата за проезд|fFq
farm|ферма, заниматься сельским хозяйством|fQ:m
farmworker|сельскохозяйственный рабочий|
fascinate|очаровывать|'fxsIneIt
fast|быстро, быстрый, острый|fQ:st
fatal|фатальный|'feItl
fate|судьба|feIt
favourite|любимый|'feIvqrIt
feasibility|осуществимость|
feasible|осуществимый|'fi:zqbl
federate|объединяться на федеративных началах|'fedqreIt
fee|гонорар, чаевые, платить гонорар|fi:
feeding|питание|
female|особь женского пола|'fi:meIl
feminist|феминист|'femInIst
fence|забор|fens
ferocious|дикий|fq'rquSqs
ferry|перевоз|'ferI
fertilizer|удобрение|'fq:tIlaIzq
feud|вражда|fju:d
fiction|вымысел|'fIkSqn
fierce|свирепый|fIqs
fifteen|пятнадцать|'fIf'ti:n
fighter|боец, борец|'faItq
file|регистрировать и хранить|faIl
filling|наполнение|'fIlIN
filly|молодая кобыла|'fIlI
finalist|участник финала|
finalize|завершать|'faInqlaIz
financially|в финансовом отношении|
fine|штраф|faIn
fingerprint|отпечаток пальца|'fINgqprInt
finishing|завершение|'fInISIN
fireman|пожарный|'faIqmqn
firework|фейерверк|'faIqwq:k
firm|укреплять|fq:m
firmness|твердость|
fisherman|рыбак|'fISqmqn
fist|кулак|fIst
fit|подгонка|fIt
fitness|годность|'fItnIs
flagrant|ужасающий|'fleIgrqnt
flare|ярко вспыхивать|flFq
flat|плоско, ровно|flxt
flee|бежать|fli:
fling|летать|flIN
float|плавать|flqut
flock|пушинка|flOk
flood|наводнение|flAd
flowing|течение|'flquIN
flurry|будоражить|'flArI
fly|муха, прыжок|flaI
flying|летучий|'flaIIN
focus|фокусировать|'fqukqs
fog|туман|fOg
folk|люди|fquk
folly|глупость|'fOlI
fond|любящий|fOnd
forbid|запрещать|fq'bId
fore|передний|fO:
forecast|предсказывать|'fO:kQ:st
forecasting|предсказание|
foreigner|иностранец|'fOrInq
foremost|передовой|'fO:mqust
foresee|предвидеть|fO:'si:
forge|выдумывать|fO:dZ
formally|формально|
former|создатель|'fO:mq
formidable|внушительный|'fO:mIdqbl
formula|формула|'fO:mjulq
fort|форт|fO:t
forthcome|приближаться|
forthwith|тотчас, немедленно|'fO:T'wIT
fortunately|к счастью|
fortune|удача|'fO:tSqn
foster|воспитывать|'fOstq
found|основывать|faund
founder|основатель|'faundq
foundry|литейный цех|'faundrI
fourth|четвертый|fO:T
fractional|дробный|'frxkSqnl
fragment|обломок|'frxgmqnt
framework|каркас|'freImwq:k
frantic|неистовый|'frxntIk
fraternal|братский|frq'tq:nl
fraud|обман, фальшивка|frO:d
freely|свободно|'fri:lI
freezing|замерзание|'fri:zIN
freight|фрахт|freIt
freighter|фрахтовщик|'freItq
frenzy|безумие|'frenzI
frequent|частый|'fri:kwqnt
friendly|дружеский|'frendlI
frighten|пугать|'fraItn
frontier|граница|'frAntIq
frost|мороз|frOst
fruit|плод, фрукты|fru:t
frustrate|расстраивать|frAs'treIt
frustration|расстройство|frAs'treISqn
fulfil|выполнять|ful'fIl
function|функционировать|'fAnNkSqn
fund|вкладывать капитал в ценные бумаги|fAnd
fundamentally|существенный|
funeral|похороны|'fju:nqrql
furniture|мебель|'fq:nItSq
furthermore|кроме того|'fq:Dq'mO:
fury|неистовство|'fjuqrI
gainer|победитель|
gale|шторм|geIl
gallon|галлон|'gxlqn
gamble|играть в азартные игры|'gxmbl
gaol|заключать в тюрьму|dZeIl
garage|гараж|'gxrQ:Z
gathering|собирание|'gxDqrIN
gay|веселый|geI
gear|механизм|gIq
gelatin|желатин|,dZelq'ti:n
general (Gen.)|генерал|
generate|порождать|'dZenqreIt
genius|гений|'dZi:njqs
gently|мягко, кротко|'dZentlI
genuine|подлинный|'dZenjuIn
geographical|географический|dZIq'grxfIkql
gesture|жест|'dZestSq
ghetto|гетто|'getqu
giant|гигант, гигантский|'dZaIqnt
gift|подарок, дар|gIft
gigantic|гигантский|dZaI'gxntIk
gilt-edged|с золотым обрезом|'gIltedZd
ginger|имбирь|'dZIndZq
giving|присвоение|
glad|довольный|glxd
glamour|обаяние|'glxmq
glare|сверкать|glFq
gloomy|мрачный|'glu:mI
glorious|великолепный|'glO:rIqs
glory|слава|'glO:rI
glove|перчатка|glAv
glow|сильный жар, накаляться|glqu
goalkeeper|вратарь|'gqul,ki:pq
going|отъезд|'gquIN
gold|золото, золотой|gquld
golf|гольф, играть в гольф|gOlf
golfer|игрок в гольф|'gOlfq
goodbye|прощание|'gud'baI
goods|товары|gudz
goodwill|добрая воля|'gud'wIl
gossip|болтовня|'gOsIp
governmental|правительственный|,gAvqn'mentl
grab|внезапно схватывать|grxb
grace|грация, изящество|greIs
grade|сортировать, степень|greId
gradual|постепенно|'grxdjuql
graduated|дипломированный|
graduation|окончание ВУЗа|,grxdju'eISqn
grammar|грамматика|'grxmq
grasp|схватывать|grQ:sp
gratitude|благодарность|'grxtItju:d
grave|могила|greIv
gravel|гравий|'grxvql
gravity|серьезность|'grxvItI
greats|сильные мира сего|greIts
greenery|зелень, растительность|'gri:nqrI
greet|приветствовать|gri:t
grieve|огорчать|gri:v
grievously|горестно|'gri:vqslI
grill|решетка|grIl
grip|схватывание|grIp
groom|чистить лошадь|grum
grotesque|абсурдный|grqu'tesk
group|группировка, группа, группировать|gru:p
grouping|классификация|'gru:pIN
growing|растущий|'grquIN
guarantee|гарантия, гарантировать|,gxrqn'ti:
guard|охрана, охранять|gQ:d
guarded|охраняемый|
guess|догадываться|ges
guide|проводник|gaId
guilt|вина, грех|gIlt
guinea|гинея|'gInI
gulf|залив, бухта|gAlf
gun|орудие, стрелять|gAn
gunman|человек, вооруженный ружьем|'gAnmqn
gut|потрошить|gAt
habit|привычка|'hxbIt
hail|приветствовать|heIl
halfback|полузащитник|
halfway|лежащий на полпути|
halt|остановка, останавливать|hO:lt
hammer|молоток|'hxmq
hamper|препятствие|'hxmpq
handful|горсть|'hxndful
handicap|препятствовать|'hxndIkxp
handout|милостыня|'hxndaut
handsome|красивый|'hxnsqm
hangar|склад|'hxNq
hanging|подвешивание|'hxNIN
happening|случай, событие|'hxpnIN
happily|счастливо|'hxpIlI
harass|беспокоить|'hxrqs
harassment|беспокойство|
harbour|гавань, порт|'hQ:bq
harden|твердеть|'hQ:dn
hardship|лишение|'hQ:dSIp
harm|вред, ущерб|hQ:m
harmful|вредный, пагубный|'hQ:mful
harmony|гармония, согласованность|'hQ:mqnI
harsh|грубый, жестокий|hQ:S
harvest|уборка урожая|'hQ:vIst
hatch|высиживать|hxtS
hate|ненавидеть, ненависть|heIt
haul|тянуть|hO:l
hawker|уличный торговец|'hO:kq
hazard|шанс, опасность|'hxzqd
haze|легкий туман|heIz
he|он|hi:-
headache|головная боль|'hedeIk
headmaster|директор школы|
heal|излечивать|hi:l
healthy|здоровый|'helTI
heaven|небеса, небо|'hevn
heavy|тяжело, вяло|'hevI
hedge|ограда|hedZ
heel|каблук|hi:l
helpful|полезный|'helpful
hence|следовательно|hens
herd|стадо, пастух|hq:d
heroine|героиня|'herquIn
herring|сельдь|'herIN
hesitant|колеблющийся|'hezItqnt
hesitate|колебаться|'hezIteIt
highlight|основной момент, выдвигать на первый план|'haIlaIt
highway|главный путь|'haIweI
hijack|захватывать|'haIdZxk
hillside|склон горы|
hire|наем, прокат, нанимать|'haIq
historical|исторический|hIs'tOrIkql
hit|удар, попадание, ударять|hIt
hitherto|до сих пор|'hIDq'tu:
hive|давать приют|haIv
hoax|разыгрывать|hquks
hockey|хоккей|'hOkI
holding|владение|'hquldIN
hole|продырявливать|hqul
holed|перфорирование|
holidaymaker|отдыхающий|
hollow|пустой, полый|'hOlqu
home|дом, домашний,  домой|hqum
honest|честный|'OnIst
honesty|честность|'OnIstI
honeymoon|медовый месяц|'hAnImu:n
hook|зацепка|huk
horizon|горизонт|hq'raIzn
hormone|гормон|'hO:mqun
horn|рог|hO:n
horrific|ужасающий|hO'rIfIk
horror|ужас|'hOrq
hose|рукав|hquz
hostage|заложник|'hOstIdZ
hostile|неприятельский|'hOstaIl
hot|горячо, жарко|hOt
hot-dog|горячая сосиска|
hound|травить|haund
household|семья|'haushquld
housewife|домашняя хозяйка|'hauswaIf
humanity|человечество|hju(:)'mxnItI
humor|юмор, комизм|'hju:mq
hunger|голод|'hANgq
hungry|голодный|'hANgrI
hurt|причинять боль|hq:t
hysteria|истерия|hIs'tIqrIq
hysterical|истерический|hIs'terIkql
icy|ледяной|'aIsI
ideal|идеал, идеальный|aI'dIql
identification|отождествление|aI,dentIfI'keISqn
identify|отождествлять|aI'dentIfaI
idle|незанятый|'aIdl
ignorance|невежество|'Ignqrqns
ill|плохо, худо, больной|Il
ill-fated|несчастливый|'Il'feItId
illusion|иллюзия|I'lu:Zqn
illustrate|иллюстрировать|'IlqstreIt
image|изображать|'ImIdZ
imagination|воображение|I,mxdZI'neISqn
immense|огромный|I'mens
immensely|чрезвычайный|I'menslI
imminent|надвигающийся|'ImInqnt
immunity|иммунитет|I'mju:nItI
impair|ослаблять|Im'pFq
impatience|нетерпение|Im'peISqns
imperial|императорский|Im'pIqrIql
imperialist|империалист|Im'pIqrIqlIst
implacably|неумолимо|
implant|внедрять, насаждать|'ImplQ:nt
implication|вовлечение|,ImplI'keISqn
implied|подразумеваемый|
import|импорт, импортировать|'ImpO:t
importer|импортер|Im'pO:tq
imposition|наложение|,Impq'zISqn
impotent|бессильный|'Impqtqnt
impression|впечатление|Im'preSqn
imprisonment|тюремное заключение|Im'prIznmqnt
impropriety|неуместность|,Imprq'praIqtI
improved|улучшенный|Im'pru:vd
inadequacy|неадекватность|In'xdIkwqsI
inaugurate|торжественно вводить в должность|I'nO:gjureIt
incentive|стимул|In'sentIv
incidentally|между прочим|,InsI'dentlI
incite|возбуждать|In'saIt
incitement|возбуждение|In'saItmqnt
incline|склонять|In'klaIn
inclusion|включение|In'klu:Zqn
incorporate|объединять|In'kO:pqreIt
incredible|невероятный|In'kredqbl
incumbent|лицо, занимающее должность|In'kAmbqnt
incur|подвергаться|In'kq:
independently|независимо|
indifference|безразличие|In'dIfrqns
indifferent|безразличный|In'dIfrqnt
indigenous|местный|In'dIdZInqs
indirect|косвенный|,IndI'rekt
indiscipline|недисциплинированность|In'dIsIplIn
indoors|в помещении|'In'dO:z
induce|убеждать|In'dju:s
indulge|позволить себе|In'dAldZ
industrialist|промышленник|In'dAstrIqlIst
industrialization|индустриализация|In,dAstrIqlaI'zeISqn
industrialize|осуществлять индустриализацию|
ineffective|неэффективный|,InI'fektIv
inefficient|неспособный|,InI'fISqnt
inevitably|неизбежно|In'evItqblI
inexcusable|непростительный|,InIks'kju:zqbl
inexperienced|неопытный|
infantry|пехота|'InfqntrI
inference|вывод, заключение|'Infqrqns
infiltration|проникновение|,InfIl'treISqn
infinitely|бесконечно|
inflict|наносить|In'flIkt
influence|влияние, оказать влияние|'Influqns
influential|влиятельный|,Influ'enSql
informal|неофициальный|In'fO:ml
informally|неофициально|
informant|информант|In'fO:mqnt
informed|осведомленный|In'fO:md
infringe|нарушать|In'frIndZ
inhabitant|житель|In'hxbItqnt
inherent|присущий|In'hIqrqnt
inhuman|бесчеловечный|In'hju:mqn
initial|начальная буква|I'nISql
initially|вначале|I'nISqlI
initiative|начальный|I'nISIqtIv
injection|инъекция|In'dZekSqn
injured|поврежденный|'IndZqd
injustice|несправедливость|In'dZAstIs
inland|внутренний|'Inlqnd
inn|гостиница|In
inner|внутренний|'Inq
innocence|невинность|'Inqsqns
innocent|невинный|'Inqsqnt
innumerable|бесчисленный|I'nju:mqrqbl
inquire|спрашивать|In'kwaIq
insect|насекомое|'Insekt
inside|внутрь, внутренний|'In'saId
inspect|рассматривать|In'spekt
inspection|осмотр|In'spekSqn
inspiration|вдохновение|,Inspq'reISqn
inspire|внушать|In'spaIq
install|вводить в должность|In'stO:l
installation|введение в должность|,Instq'leISqn
instantly|немедленно|'InstqntlI
instigate|подстрекать|'InstIgeIt
instinct|инстинкт|'InstINkt
instruction|обучение|In'strAkSqn
instructor|инструктор|In'strAktq
insufficient|недостаточный|,Insq'fISqnt
insult|оскорбление|'InsAlt
insure|обеспечивать|In'Suq
intake|поглощение|'InteIk
integral|неотъемлемый|'IntIgrql
integrate|объединять|'IntIgreIt
intellectual|интеллигент|,IntI'lektjuql
intelligent|умный|In'telIdZqnt
intended|предполагаемый|In'tendId
intense|сильный|In'tens
intensify|усиливать|In'tensIfaI
intercontinental|межконтинентальный|'Intq(:),kOntI'nentl
interdependence|взаимозависимость|,Intq(:)dI'pendqns
interdependent|взаимозависимый|,Intq(:)dI'pendqnt
interfere|мешать|,Intq'fIq
interference|вмешательство|,Intq'fIqrqns
interim|предварительный|'IntqrIm
interior|внутренность|In'tIqrIq
intermission|перерыв, пауза|,Intq(:)'mISqn
internally|в международном масштабе|In'tq:nqlI
international|международные соревнования|,Intq(:)'nxSqnl
interpret|интерпретировать|In'tq:prIt
interpretation|интерпретация|In,tq:prI'teISqn
interpreter|интерпретатор|In'tq:prItq
interrupt|прерывать|,Intq'rApt
interruption|прерывание|,Intq'rApSqn
interval|интервал|'Intqvql
intervene|вмешиваться|,Intq(:)'vi:n
interview|интервью, интервьюировать|'Intqvju:
intimate|глубокий, интимный|'IntImeIt
invade|вторгаться|In'veId
invalid|недействительный|,Invq'li:d
invariably|неизменно|In'veqrIqblI
invasion|вторжение|In'veIZqn
invent|изобретать|In'vent
invention|изобретение|In'venSqn
investigator|следовательно|In'vestIgeItq
invoke|призывать|In'vquk
involved|сложный|In'vOlvd
iron|железо, железный, сильный|'aIqn
ironic|иронический|aI'rOnIk
ironically|иронически|aI'rOnIk(q)lI
irony|ирония|'aIqrqnI
irresistible|непреодолимый|,IrI'zIstqbl
irrespective|безотносительный|,IrIs'pektIv
irresponsibility|безответственность|'IrIs,pOnsq'bIlItI
irresponsible|безответственный|,IrIs'pOnsqbl
isolation|изоляция|,aIsqu'leISqn
jade|нефрит|dZeId
jam|сжатие, сжимать|dZxm
jar|дребезжание|dZQ:
jaw|челюсть|dZO:
jeer|насмешка|dZIq
jeopardize|подвергать опасности|'dZepqdaIz
jeopardy|опасность|'dZepqdI
jeweller|ювелир|'dZu:qlq
jewellery|драгоценности|'dZu:qlrI
jewels|драгоценности|
jobless|безработный|'dZOblIs
joining|соединение|
jointly|совместный|'dZOIntlI
joke|шутка, шутить|dZquk
jolly|праздничный|'dZOlI
journey|поездка, рейс|'dZq:nI
jubilee|юбилей|'dZu:bIli:
judicial|судебный|dZu(:)'dISql
judiciary|судопроизводство|dZu(:)'dISIqrI
juicy|сочный, дождливый|'dZu:sI
jump|прыжок, скачок, прыгать|dZAmp
jumper|прыгун|'dZAmpq
junction|соединение|'dZANkSqn
jungle|джунгли|'dZANgl-
junta|хунта|'dZAntq
juror|присяжные заседатели|'dZuqrq
justifiable|законный|'dZAstIfaIqbl
justification|оправдание|,dZAstIfI'keISqn
juvenile|юноша, подросток|'dZu:vInaIl
key|ключ, запирать на ключ|ki:
kick|удар, бить|kIk
kid|ребенок|kId
kidnap|похищать детей|'kIdnxp
killer|убийца|'kIlq
killing|убийственный|'kIlIN
kingdom|королевство|'kINdqm
kirk|церковь|kq:k
kiss|поцелуй|kIs
kitchen|кухня|'kItSIn
kite|бумажный змей|kaIt
kitten|котенок|'kItn
kitty|цель|'kItI
knee|колено|ni:
knife|нож|naIf
knight|рыцарь|naIt
label|этикетка, приклеивать ярлык|'leIbl
labour|труд, трудиться|'leIbq
labourer|рабочий|'leIbqrq
lace|шнурок|leIs
lad|парень|lxd
lamely|неубедительно|
lamp|лампа|lxmp
lampshade|абажур|
land|высаживать|lxnd
landed|земельный|'lxndId
landfall|приземление|'lxndfO:l
landing|высадка на берег|'lxndIN
landlord|домовладелец|'lxnlO:d
landscape|ландшафт, пейзаж|'lxnskeIp
landslide|оползень, обвал|'lxndslaId
lap|подол|lxp
lapse|описка|lxps
large-scale|крупномасштабный|
last|последний|lQ:st
laugh|смех, смеяться|lQ:f
laughter|хохот|'lQ:ftq
launching|спуск|
layoff|приостановка производства|
leaf|лист|li:f
leaflet|листовка|'li:flIt
leak|просачиваться|li:k
leap|прыжок, прыгать|li:p
learned|ученый|'lq:nId
learning|учение|'lq:nIN
leash|свора, привязь|li:S
least|наименьший|li:st
leaver|выпускник|
lecture|лекция|'lektSq
left|налево, слева, левый|left
left-handed|левосторонний|
legalistic|юридический|
legality|законность|lI(:)'gxlItI
legalize|узаконивать|'li:gqlaIz
legally|законно|
legend|легенда|'ledZqnd
leprosy|проказа|'leprqsI
less|меньший|les
lessen|уменьшать|'lesn
lesson|урок|'lesn
lettuce|салат|'letIs
level|спокойный, выравнивать|'levl
lever|рычаг|'li:vq
lexicon|словарь|'leksIkqn
liable|подлежащий|'laIqbl
libel|клевета|'laIbql
liberty|свобода|'lIbqtI
librarian|библиотекарь|laI'brFqrIqn
license|давать разрешение|'laIsqns
lien|залог|lIqn
lieutenant|лейтенант|lef'tenqnt
lieutenant-colonel|подполковник|
lieutenant-general|генерал-лейтенант|lef'tenqnt'dZenqrql
lifetime|продолжительность жизни|'laIftaIm
light|свет|laIt
lighting|освещение|'laItIN
lightweight|легкий вес|
likelihood|вероятность|'laIklIhud
limitation|ограничение|,lImI'teISqn
limited (ltd)|с ограниченной ответственностью|
limiting|ограничивающий|
liquid|жидкость|'lIkwId
liquidation|ликвидация|,lIkwI'deISqn
liquor|напиток|'lIkq
lively|живой, живо|'laIvlI
load|нагрузка, нагружать|lqud
loaded|загруженный|'lqudId
loaf|буханка хлеба|lquf
locally|в местных масштабах|'lqukqlI
locate|определять местонахождение|lqu'keIt
lockout|локаут|
locomotive|локомотив|'lqukq,mqutIv
lodge|домик, будка|lOdZ
long-distance|дальний|'lON'dIstqns
long-standing|давнишний|'lON'stxndIN
long-term|долгосрочный|'lONtq:m
long-time|долгосрочный|
loom|принимать размеры|lu:m
loop|петля|lu:p
loot|ограбление|lu:t
losing|проигрыш, проигранный|'lu:zIN
lost|утраченный|lOst
loud|громкий|laud
loudly|громко|'laudlI
lounge|ленивая походка, сидеть развалясь|laundZ
lovely|красивый|'lAvlI
loving|любящий|'lAvIN
loyalty|лояльность|'lOIqltI
lucid|понятный|'lu:sId
luck|судьба|lAk
lump|глыба, ком|lAmp
lunch|ленч, завтракать|lAntS
luncheon|завтрак|'lAntSqn
lure|завлекать|ljuq
luxurious|роскошный|lAg'zjuqrIqs
luxury|роскошь|'lAkSqrI
lyric|лирическое стихотворение|'lIrIk
machinist|инженер|mq'Si:nIst
mad|безумный|mxd
magnetic|магнитный|mxg'netIk
magnificent|великолепный|mxg'nIfIsnt
maid|девица|meId
maiden|дева|'meIdn
mainland|материк|'meInlqnd
major|майор|'meIdZq
malice|злоба|'mxlIs
man|укомплектовывать личным составом|mxn
man-power|рабочая сила|
managerial|директорский|,mxnq'dZIqrIql
mandate|мандат|'mxndeIt
mandatory|мандатный|'mxndqtqrI
manipulate|манипулировать|mq'nIpjuleIt
mankind|человечество|mxn'kaInd
manoeuvre|маневр, маневрировать|mq'nu:vq
mansion|дворец|'mxnSqn
manual|ручной|'mxnjuql
manually|вручную|
manuscript|рукопись|'mxnjuskrIpt
map|карта|mxp
marginal|предельный|'mQ:dZInql
marginally|предельно|'mQ:dZInqlI
marine|морской флот, морской|mq'ri:n
marital|супружеский|'mxrItl
maritime|морской|'mxrItaIm
mark|признак|mQ:k
marker|маркер|'mQ:kq
martial|военный|'mQ:Sql
mass|собирать|mxs
massacre|резня, устраивать резню|'mxsqkq
master|справляться|'mQ:stq
maternity|материнство|mq'tq:nItI
mathematical|математический|,mxTI'mxtIkql
mathematics|математика|,mxTI'mxtIks
mature|зрелый, созреть|mq'tjuq
maturity|зрелость|mq'tjuqrItI
maxi|макси|'mxksI
maybe|возможно|'meIbi:
meal|еда|mi:l
meaning|значение, смысл|'mi:nIN
meaningless|бессмысленный|'mi:nINlIs
measuring|измерение|
mechanic|механик|mI'kxnIk
mechanical|механический|mI'kxnIkql
mechanism|устройство|'mekqnIzm
mechanization|механизация|,mekqnaI'zeISqn
medal|медаль|'medl
mediator|посредник|'mi:dIeItq
medieval|средневековый|,medI'i:vql
melodic|мелодический|mI'lOdIk
melodious|мелодичный|mI'lqudjqs
melody|мелодия|'melqdI
memorable|памятный|'memqrqbl
memorandum|меморандум|,memq'rxndqm
memorial|памятный|mI'mO:rIql
mentally|умственно|'mentqlI
menu|меню|'menju:
mercenary|наемник|'mq:sInqrI
merchandise|торговля|'mq:tSqndaIz
mercy|милосердие|'mq:sI
mere|единственный|mIq
merit|достоинство|'merIt
meter|метр, счетчик|'mi:tq
methodist|методист|'meTqdIst
mew|мяукать|mju:
microphone|микрофон|'maIkrqfqun
mid|средний|mId
middle-aged|средних лет|'mIdl'eIdZd
middle-class|относящийся к средним слоям общества|
midst|середина|mIdst
midway|на полпути|'mId'weI
midweek|середина недели|
migration|миграция|maI'greISqn
mild|умеренный|maIld
militancy|воинственность|'mIlItqnsI
militant|воинственный|'mIlItqnt
mill|молоть|mIl
mind|помнить|maInd
mineworker|шахтер|
mini|мини|
minimize|доводить до минимума|'mInImaIz
minimum|минимум|'mInImqm
mining|горный|'maInIN
ministerial|министерский|,mInIs'tIqrIql
minute|мелкий|maI'nju:t
miracle|чудо|'mIrqkl
misfortune|несчастье|mIs'fO:tSqn
mislead|вводить в заблуждение|mIs'li:d
missionary|миссионер|'mISnqrI
mistress|хозяйка, госпожа|'mIstrIs
misunderstanding|неправильное понимание|'mIsAndq'stxndIN
mob|шайка|mOb
mobile|подвижный|'mqubaIl
